Name|Type|ActionType|Range(in feet)|Duration|CastingTime|RechargeValues(d6)|AttackAbilityMod|Description
Psychic Terrain|Psychic|Spell|120|1d4 Rounds|Action|5,6|--|Choose a 30 ft area within range to lay psychic terrain in; the terrain has whatever form you desire, and any creature moving through the terrain must make a WIS save or lose their movement (and one random RP effect happens).
Purify|Poison|Spell|--|Instant|Action|5,6|--|Heal up to 2 status effects on yourself; can be used out of combat to purify water.
Revelation Dance|Normal|Melee Attack|Touch|Instant|Action|--|DEX,CHA|1d10 + mod damage; this attack does damage of the attacker's Type.
Shadow Bone|Ghost|Spell|20|10 Minutes|Action|6|--|Throw your bone to a square within range, from there a shambling, shadow creature is summoned with Xd4 hp, where X is your prof bonus; This creature knows Shadow Claw; this summon lasts for 10 minutes or until it falls to 0 hp.
Shell Trap|Fire|Spell|--|1 Rounds|Action|4,5,6|--|Lay a firey, shell trap on the square you currently occupy; The next time an enemy creature moves into that square they take Xd6 damage, where X is double your prof bonus, and are Deafened and Blinded until the beginning of their next turn.
Shore Up|Ground|Spell|--|Instant|Action|5,6|--|Heal for Xd8 + X, where X is your prof bonus; Any extra healing is applied as temporary hit points; If your health increases more than 30 hp in this way your size grows one until you lose it.
Smart Strike|Steel|Melee Attack|Touch|Instant|Action|--|DEX,WIS|1d8 + mod damage; on hit the target is Impaled.
Solar Blade|Grass|Spell|10|10 Minutes|Action|OPSR|STR,DEX|Summon a leafy greatsword within range; 1d12 + mod damage; If summoned in direct sunlight Attacks with this weapon have 5 ft additional reach; in intense sunlight this weapon deals an additional 1d6 damage which you heal back; after you make an Attack with this weapon roll a d20, on 10 or less (5 in direct sunlight, 1 in intense sunlight) this weapon breaks.
Sparkling Aria|Water|Spell|30|Instant|Action|5,6|--|Sing a sparkling, seal song; All targets that can hear you must make WIS saves or be Deafened for 1 Rounds; Allies in range are healed of Burn.
Speed Swap|Psychic|Spell|30|Instant|Reaction|4,5,6|--|You can use your Reaction to give an ally within range a portion of your movespeed from your next turn.
Spirit Shackle|Ghost|Spell|--|Instant|Bonus Action|4,5,6|--|Your next Ranged Attack causes your enemy to lose their movement on their next turn, and take 1d6 additonal Ghost damage.
Spotlight|Normal|Ranged Attack|30/90|Instant|Action|--|DEX,INT|1d6 + mod damage and the next attack against that target has advantage.
Stomping Tantrum|Ground|Melee Attack|Touch|Instant|Action|--|STR,DEX|1d10 + mod damage; if your last Attack action missed this attack auto-crits on hit.
Strength Sap|Grass|Spell|30|1d4+1 Rounds|Action|5,6|--|Choose a target within range to make an INT save or be forced to swap STR stats with you for the duration; Any STR-based Melee Attacks you make for the duration heal you for half the damage done.
Tearful Look|Normal|Spell|--|Instant|Reaction|5,6|--|On incoming attack, force the attacker to make a CHA save or be forced to reroll there attack, taking the new roll; If the target missed there attack due to this Spell, the user has advantage on their next Attack against the target.
Throat Chop|Dark|Melee Attack|Touch|Instant|Action|--|STR,DEX|1d12 + mod damage; on hit the target cannot use voice-based attacks until the end of their next turn.
Toxic Thread|Poison|Spell|--|1 Rounds|Action|4,5,6|--|Lay a poisonous, webbed trap on the square you currently occupy; The next time an enemy creature moves into that square they are Poisoned and knocked prone.
Trop Kick|Grass|Melee Attack|Touch|Instant|Action|--|STR,DEX|1d8 + mod damage; 1d12 if in direct sunshine.
Zing Zap|Electric|Spell|60|Instant|Action|5,6|--|Choose a target to make a DEX save or take Xd4 damage, where X is your prof bonus, and lose their Bonus Action on their next turn.
